Mes/Año	   	1º Matrícula	Última Matrícula

Sep/2000	0000 BBB	9999 BBJ
Oct/2000	0000 BBK	9999 BCD
Nov/2000	0000 BCF	9999 BCY
Dic/2000	0000 BCZ	9999 BDR
Ene/2001	0000 BDS	9999 BFJ
Feb/2001	0000 BFK	9999 BGF
Mar/2001	0000 BGG	9999 BHG
Abr/2001	0000 BHH	9999 BJC
May/2001	0000 BJD	9999 BKB
Jun/2001	0000 BKC	9999 BLC
Jul/2001	0000 BLD	9999 BMF
Ago/2001	0000 BMG	9999 BMW
Sep/2001	0000 BMX	9999 BNL
Oct/2001	0000 BNM	9999 BPG
Nov/2001	0000 BPH	9999 BRB
Dic/2001	0000 BRJ	9999 BRT
Ene/2002	0000 BSL	9999 BSL
Feb/2002	0000 BSM	9999 BTF
Mar/2002	0000 BTG	9999 BTZ
Abr/2002	0000 BUC	9999 BVW
May/2002	0000 BVX	9999 BWT
Jun/2002	0000 BUY	9999 BXP
Jul/2002	0000 BXZ	9999 BYP
Ago/2002	0000 BZA	9999 BZF
Sep/2002	0000 BZG	9999 BZV
Oct/2002	0000 CBP	9999 CBP
Nov/2002	0000 CBQ	9999 CCH
Dic/2002	0000 CBR	9999 CDC
Ene/2003	0000 CDV	9999 CDV
Feb/2003	0000 CDW	9999 CFM
Mar/2003	0000 CFT	9999 CGJ
Abr/2003	0000 CGK	9999 CHF
May/2003	0000 CHG	9999 CJC
Jun/2003	0000 CJK	9999 CKB
Jul/2003	0000 CKL	9999 CLD
Ago/2003	0000 CLM	9999 CLV
Sep/2003	0000 CLW	9999 CMM
Oct/2003	0000 CMN	9999 CNK
Nov/2003	0000 CNL	9999 CPF
Dic/2003	0000 CPG	9999 CRC
Ene/2004	0000 CRV	9999 CRV
Feb/2004	0000 CRW	9999 CSS
Mar/2004	0000 CTT	9999 CTT
Abr/2004	0000 CTR	9999 CVR
May/2004	0000 CVS	9999 CWR
Jun/2004	0000 CWW	9999 CXT
Jul/2004	0000 CXU	9999 CYY
Ago/2004	0000 CYZ	9999 CZP
Sep/2004	0000 DBJ	9999 DBJ
Oct/2004	0000 DBC	9999 DCH
Nov/2004	0000 DCK	9999 DDG
Dic/2004	0000 DDL	9999 DFF
